codigo_funcao,funcao,empenhado,pago,diferenca_empenhado_pago,pago_per_capita_medio,taxa_execucao
10,10 - Saúde,284656699569.2,265713242125.31,18943457443.889996,1065.0193871198087,0.9334515664919917
12,12 - Educação,246082269855.17,216875066023.71,29207203831.46,845.6117931728301,0.8813112222646121
09,09 - Previdência Social,160805238244.7,156603792296.4,4201445948.3000035,491.04041987381373,0.9738724559338882
15,15 - Urbanismo,130333973837.31,111286746786.53,19047227050.78,445.3780073716141,0.8538583111525795
04,04 - Administração,74466496038.63,69819827910.49,4646668128.139998,406.2952899436419,0.9376005536002459
28,28 - Encargos Especiais,68739957223.16,67215485446.37,1524471776.7900004,231.22898285291112,0.9778226254659877
26,26 - Transporte,59133434254.49,55561905214.590004,3571529039.8999987,120.89486141036174,0.9396022049974408
08,08 - Assistência Social,30115281239.01,27710279611.45,2405001627.5600004,102.65834657894264,0.9201401571357513
17,17 - Saneamento,32276184832.84,27673968437.7,4602216395.139999,129.35431062117678,0.8574113880257189
01,01 - Legislativa,22233088548.5,21328232983.59,904855564.9100001,97.13887759779143,0.9593014005707701
06,06 - Segurança Pública,15500969921.35,14517997788.23,982972133.12,59.875285004267006,0.9365864111660445
16,16 - Habitação,16307877291.43,13331571356.53,2976305934.8999996,25.77310625992607,0.8174927440455977
13,13 - Cultura,10278931203.29,8655863836.76,1623067366.53,31.833232034982526,0.8420976525253422
18,18 - Gestão Ambiental,8657417289.08,7541256935.47,1116160353.6100001,42.853151667206824,0.8710746731571014
23,23 - Comércio e Serviços,6911160733.47,5902979558.37,1008181175.0999999,17.313140128129174,0.8541227423321978
27,27 - Desporto e Lazer,5354216828.51,4587927230.31,766289598.2,13.807780949264743,0.8568811046053122
14,14 - Direitos da Cidadania,3789461538.3700004,3410770613.29,378690925.0800001,10.336772143613162,0.9000673522489714
02,02 - Judiciária,3520551161.81,3387890874.83,132660286.97999996,35.86359205235468,0.9623183186715014
11,11 - Trabalho,3183099866.53,2934316301.31,248783565.21999994,11.17589262870137,0.9218423625862524
24,24 - Comunicações,2373751424.8,2038091642.8700001,335659781.93,19.46640248801294,0.8585952267692558
03,03 - Essencial à Justiça,1574834995.7,1536891837.92,37943157.78000001,29.527721094077044,0.9759065820332913
19,19 - Ciência e Tecnologia,1666007359.04,1475140001.0,190867358.04000005,8.572071112328846,0.8854342647381923
25,25 - Energia,876479307.3,850943252.15,25536055.15,35.51987432073299,0.9708651933510399
20,20 - Agricultura,660721115.21,543851870.39,116869244.82,18.809248414371254,0.8231186469909396
05,05 - Defesa Nacional,360553322.09999996,303973498.63,56579823.469999984,72.6404062802497,0.8430750183067028
22,22 - Indústria,150666656.69,136886570.51,13780086.180000007,2.2038123825237284,0.9085392449614592
07,07 - Relações Exteriores,117038877.80000001,103836193.58000001,13202684.220000003,2.5769342791116823,0.8871940292988695
